file,year,max_sqft
01612916002455.json,1965,
49708620131961.json,1965,
08618200137729.json,1965,
15101570135467.json,1965,
56724546055008.json,1965,
19651106023634.json,1965,
19648651995588.json,1965,
28662666113302.json,1965,
43694196046890.json,1965,
01612596118616.json,1965,
19651366058580.json,1965,
49707306120588.json,1965,
33670580111021.json,1965,
01100170130625.json,1965,
36679596114177.json,1965,
37680236037840.json,1965,
34674476034656.json,1965,
36676786108195.json,1965,
19647336017248.json,1965,
13631236113658.json,1965,
22102232230050.json,1965,
36675876035174.json,1965,
24753666025407.json,1965,
30664566027510.json,1965,
19645276013304.json,1965,
19647330133744.json,1965,
19647336057905.json,1965,
33670823330537.json,1965,
33670826109805.json,1965,
54768365431598.json,1965,
52105205230016.json,1965,
19649986120257.json,1965,
37683463730033.json,1965,
37683386039671.json,1965,
30736436030613.json,1965,
19646676014682.json,1965,
30665223035706.json,1965,
01613096002513.json,1965,
36678270137224.json,1965,
19647331931682.json,1965,
34674473430386.json,1965,
43694274337903.json,1965,
01612590119859.json,1965,
15636286009740.json,1965,
19647336018345.json,1965,
37681303732732.json,1965,
33751926116438.json,1965,
42692296045629.json,1965,
43693776067177.json,1965,
27661342733657.json,1965,
56768286055552.json,1965,
19648810113472.json,1965,
44697576049571.json,1965,
19647331936350.json,1965,
09618380100024.json,1965,
34673146033047.json,1965,
36738906035331.json,1965,
33671810138610.json,1965,
19645766013882.json,1965,
43696666060115.json,1965,
19647331930791.json,1965,
36678683630241.json,1965,
19768690131128.json,1965,
56724626055016.json,1965,
37680236066971.json,1965,
19647330111971.json,1965,
38684786041065.json,1965,
36738900118109.json,1965,
10622571033695.json,1965,
34673486114185.json,1965,
37683386039523.json,1965,
19645926115265.json,1965,
10739656112775.json,1965,
37683383735750.json,1965,21
33751923330743.json,1965,
34765056033476.json,1965,
15735446117816.json,1965,
30664646097398.json,1965,
30647666020176.json,1965,
57727106107163.json,1965,
50712826067250.json,1965,
33672490102715.json,1965,
19647336018980.json,1965,
34674476034441.json,1965,
40687596043061.json,1965,
19647336019368.json,1965,
14632891434901.json,1965,
36678433630779.json,1965,
19101990132605.json,1965,
50710430112292.json,1965,
36678766036933.json,1965,
19757136011100.json,1965,
19753090137786.json,1965,
34673146059174.json,1965,
37683380127647.json,1965,
19647330129627.json,1965,
56738746111496.json,1965,
34674476034912.json,1965,
15635291530476.json,1965,
34752830116806.json,1965,
19647256015622.json,1965,
15635036111157.json,1965,
36677856110050.json,1965,
50712906053110.json,1965,
44698496049977.json,1965,
19647330106922.json,1965,
37680986038210.json,1965,
50712820105700.json,1965,
19647330132084.json,1965,
34674470128124.json,1965,
37680566088983.json,1965,
09619456114664.json,1965,
19647336016422.json,1965,
19648816021679.json,1965,
12101240106179.json,1965,
36738903630282.json,1965,
19651366111926.json,1965,
37680230119594.json,1965,
14766870125047.json,1965,
43693696046239.json,1965,
43696664330502.json,1965,
43695266047567.json,1965,
19643521933951.json,1965,
27738252730034.json,1965,
41688820133157.json,1965,
43693776046387.json,1965,
33672153330677.json,1965,
54755236054308.json,1965,
34674473432051.json,1965,
20652430118950.json,1965,
33672153330362.json,1965,
44754326049951.json,1965,
19647336017008.json,1965,
07618126005169.json,1965,
33103300125385.json,1965,
16638836010326.json,1965,
15635291530708.json,1965,
30665306089072.json,1965,
07618046066591.json,1965,
43695344334371.json,1965,
30739246029052.json,1965,
42767866060057.json,1965,
36675876120604.json,1965,
