file,year,max_sqft
19647336016117.txt,1965,
01611196090039.txt,1965,
20652436107122.txt,1965,
36678506059455.txt,1965,
54722316116768.txt,1965,
19650606023022.txt,1965,
07617966119515.txt,1965,
39685856097760.txt,1965,
36677360139576.txt,1965,
54719026054027.txt,1965,
56726035636188.txt,1965,
44698074436754.txt,1965,
24657486025514.txt,1965,
33669930127142.txt,1965,
30665226028625.txt,1965,
19645766061329.txt,1965,
36678760109850.txt,1965,
30665636028971.txt,1965,
37684113731460.txt,1965,
07617136003727.txt,1965,
19644366012546.txt,1965,
43694846047336.txt,1965,
01611926056972.txt,1965,
41688666114771.txt,1965,
54722316106553.txt,1965,
19647331936350.txt,1965,
10621666057327.txt,1965,
36678760120568.txt,1965,
19647331932888.txt,1965,
19648810118075.txt,1965,
04614240431676.txt,1965,
19647330120071.txt,1965,
01611190119222.txt,1965,
07616300733725.txt,1965,
10621666006183.txt,1965,
43696256072177.txt,1965,
33670820106716.txt,1965,
15634046117915.txt,1965,
57726946115463.txt,1965,
07617886004527.txt,1965,
10621660119339.txt,1965,
19734606106918.txt,1965,
36677100102509.txt,1965,
52105205230016.txt,1965,
54722560139212.txt,1965,
04615236115034.txt,1965,
04614246003024.txt,1965,
19647330117622.txt,1965,
30736356109540.txt,1965,
40687004030151.txt,1965,
37679910108563.txt,1965,
56725530139592.txt,1965,
19647336116842.txt,1965,
37683616040406.txt,1965,
44698234432340.txt,1965,
34674476034425.txt,1965,
28662666058788.txt,1965,
33672070140491.txt,1965,
34674396033997.txt,1965,
42691206107007.txt,1965,
43694270107151.txt,1965,
17769761737006.txt,1965,
39754996110530.txt,1965,
41689990135608.txt,1965,
34673143430329.txt,1965,
09618386107361.txt,1965,
25735934737250.txt,1965,
43693776095343.txt,1965,
37735516120711.txt,1965,
16639176112379.txt,1965,
13631640138917.txt,1965,
56725460125674.txt,1965,
30665976029284.txt,1965,
19752916022461.txt,1965,
10622656088959.txt,1965,
20764140115550.txt,1965,
22655326103477.txt,1965,
19647330109421.txt,1965,
49708700106344.txt,1965,
19647330127910.txt,1965,
19647250114603.txt,1965,
30736353030244.txt,1965,
34674476034342.txt,1965,
33669856031637.txt,1965,
33672153336237.txt,1965,
20652430131086.txt,1965,
55751845530084.txt,1965,
43693776093041.txt,1965,
38684786040950.txt,1965,
37683870105825.txt,1965,
32669693233509.txt,1965,
19646266014427.txt,1965,
37683386112460.txt,1965,
56726525630793.txt,1965,
41690474134557.txt,1965,
30666700108365.txt,1965,
37683616040349.txt,1965,
17640551736008.txt,1965,
41689990126649.txt,1965,
43693690108167.txt,1965,
19734526022289.txt,1965,
19647250115535.txt,1965,
19647256109292.txt,1965,
29102986077226.txt,1965,
15634206009419.txt,1965,
57726786056261.txt,1965,
43695830102368.txt,1965,
21654170124081.txt,1965,
54753250106021.txt,1965,
56726035630249.txt,1965,
19647330112029.txt,1965,
19734456014120.txt,1965,
49708966052070.txt,1965,
40687916043186.txt,1965,
19650526022933.txt,1965,
34674396033955.txt,1965,
19642461996644.txt,1965,
19647330122101.txt,1965,
09618380100024.txt,1965,
19644366012553.txt,1965,
19647336018675.txt,1965,
36678686036743.txt,1965,
19647336018113.txt,1965,
15635946060420.txt,1965,
09100900136036.txt,1965,
04100410430090.txt,1965,
19647331930734.txt,1965,
19647336017552.txt,1965,
34674396033799.txt,1965,
09619456114664.txt,1965,
37681896038343.txt,1965,
29664156089403.txt,1965,
19648811936806.txt,1965,
43696666048516.txt,1965,
19643296011860.txt,1965,
49710196052344.txt,1965,
49709204935607.txt,1965,
30103060137976.txt,1965,
13631646008569.txt,1965,
19649076021877.txt,1965,
10739656120539.txt,1965,
43694196047096.txt,1965,
01611506090401.txt,1965,
40754656042980.txt,1965,
37680230135277.txt,1965,
37737916039077.txt,1965,
10751271030725.txt,1965,
37683386039168.txt,1965,
01100170124172.txt,1965,
04614246109722.txt,1965,
48705810137380.txt,1965,
12629196008015.txt,1965,
07617210107797.txt,1965,
37682136085054.txt,1965,
43694500129205.txt,1965,
43694356047153.txt,1965,
19648401936475.txt,1965,
01613096002513.txt,1965,
29664070128629.txt,1965,
18641966010821.txt,1965,
33669770125732.txt,1965,
33669936031652.txt,1965,
36678196036131.txt,1965,
43695836047948.txt,1965,
10621660106740.txt,1965,
37681896120901.txt,1965,
01611766056915.txt,1965,
33669770134171.txt,1965,
19647336015812.txt,1965,
50711676052633.txt,1965,
37683463731007.txt,1965,
19734456014336.txt,1965,
34674393434636.txt,1965,
36738906035406.txt,1965,
19647330124941.txt,1965,
15101571530492.txt,1965,
33671816032494.txt,1965,
19647330137083.txt,1965,
07617546004253.txt,1965,
37683386039424.txt,1965,
37683380117325.txt,1965,
19647336018311.txt,1965,
19648406021075.txt,1965,
19647336018477.txt,1965,
10621666088546.txt,1965,
41689166043780.txt,1965,
54718370109009.txt,1965,
19647336017750.txt,1965,
33752006108849.txt,1965,
36103636069348.txt,1965,
27659616106959.txt,1965,
37681976070833.txt,1965,
38684786041131.txt,1965,
30736356071161.txt,1965,
10621661030642.txt,1965,
34765056033575.txt,1965,
30666476030951.txt,1965,
28662666026900.txt,1965,
34739730142042.txt,1965,
10621666006357.txt,1965,
10621666006431.txt,1965,
19650941939537.txt,1965,
01612596002075.txt,1958,
19646676108419.txt,1965,
43693696068910.txt,1965,
43696666048714.txt,1965,
38684786089775.txt,1965,
15633626009955.txt,1965,
33670330119321.txt,1965,
56726036055669.txt,1965,
54722566110902.txt,1965,
51714645139001.txt,1965,
19647256015283.txt,1965,
07617210730572.txt,1965,
56738746055677.txt,1965,
12626796007660.txt,1965,
45699486050181.txt,1965,
29663736094981.txt,1965,
41690396044838.txt,1965,
43696826049068.txt,1965,
15633546009252.txt,1965,
19651366111926.txt,1965,
19647336019806.txt,1965,
36678270113928.txt,1965,
43694196046767.txt,1965,
43696666060107.txt,1965,
19647336015796.txt,1965,
19648651996552.txt,1965,
09618530930081.txt,1965,
56105610135798.txt,1965,
13632141337609.txt,1965,
19642460126003.txt,1965,
34752836118624.txt,1965,
37103710120493.txt,1965,
33751920105734.txt,1965,
01612596066450.txt,1958,
37683870129049.txt,1965,
23656230112300.txt,1965,
33672156032569.txt,1965,
41690396044804.txt,1965,
48705734837803.txt,1965,
19757136011068.txt,1965,
19647090100610.txt,1965,
08618206005383.txt,1965,
37764710138776.txt,1965,
15635291530112.txt,1965,
33669776031595.txt,1965,
26736686025910.txt,1965,
24658706109425.txt,1965,
36677850141184.txt,1965,
19647336017156.txt,1965,
19651026023568.txt,1965,
19647336058127.txt,1965,
30665896029185.txt,1965,
31750853130150.txt,1965,
01612916066518.txt,1965,
58727365830054.txt,1965,
01612006085773.txt,1965,
43696256048177.txt,1965,
15634610129130.txt,1965,
34674473435930.txt,1965,
19753411937143.txt,1965,
34674476034961.txt,1965,
37684116059760.txt,1965,
01612596114011.txt,1965,
36678010141705.txt,1965,
43694196046940.txt,1965,
07617960730325.txt,1965,
36676523637659.txt,1965,
19647330123141.txt,1965,
39754996042840.txt,1965,
43695266047518.txt,1965,
19647330135723.txt,1965,
09619296005599.txt,1965,
19647251937176.txt,1965,
15638591536440.txt,1965,
10622650106815.txt,1965,
34673306118012.txt,1965,
43694846047294.txt,1965,
51714646053367.txt,1965,
37683386059703.txt,1965,
57726940131706.txt,1965,
19648736021430.txt,1965,
44697656049605.txt,1965,
